Meter Consumption ID,StartDate,TypeOfSeason,StartTimestamp
1457394728-0003-01,7/1/2009,Cooling,0:30:00
1457394728-0004-01,7/1/2009,Cooling,0:45:00
1457394728-0005-01,7/1/2009,Cooling,1:00:00
1457394728-0006-01,7/1/2009,Cooling,1:15:00
1457394728-0007-01,7/1/2009,Cooling,1:30:00
1457394728-0008-01,7/1/2009,Cooling,1:45:00
1457394728-0009-01,7/1/2009,Cooling,2:00:00
1457394728-0144-02 ,7/2/2009,Cooling,0:00:00
1457394728-0145-02,7/2/2009,Cooling,0:15:00
1457394728-0146-02 ,7/2/2009,Cooling,0:30:00
1457394728-0147-02 ,7/2/2009,Cooling,0:45:00
1457394728-0148-02 ,7/2/2009,Cooling,1:00:00
1457394728-0149-02 ,7/2/2009,Cooling,1:15:00
1457394728-0150-02,7/2/2009,Cooling,1:30:00
1457394728-0151-02 ,7/2/2009,Cooling,1:45:00
1457394728-0152-02 ,7/2/2009,Cooling,2:00:00
1457394728-0432-02,7/3/2009,Cooling,0:00:00
1457394728-0433-03,7/3/2009,Cooling,0:15:00
1457394728-0434-03,7/3/2009,Cooling,0:30:00
1457394728-0435-03,7/3/2009,Cooling,0:45:00
1457394728-0436-03,7/3/2009,Cooling,1:00:00
1457394728-0437-03,7/3/2009,Cooling,1:15:00
1457394728-0438-03,7/3/2009,Cooling,1:30:00
1457394728-0439-03,7/3/2009,Cooling,1:45:00
1457394728-0440-03,7/3/2009,Cooling,2:00:00
1457394728-0576-04,7/4/2009,Cooling,0:00:00
1457394728-0577-04,7/4/2009,Cooling,0:15:00
1457394728-0578-04,7/4/2009,Cooling,0:30:00
1457394728-0579-04,7/4/2009,Cooling,0:45:00
1457394728-0580-04,7/4/2009,Cooling,1:00:00
1457394728-0581-04,7/4/2009,Cooling,1:15:00
1457394728-0582-04,7/4/2009,Cooling,1:30:00
1457394728-0583-04,7/4/2009,Cooling,1:45:00
1457394728-0584-04,7/4/2009,Cooling,2:00:00
1457394728-0720-05,7/5/2009,Cooling,0:00:00
1457394728-0721-05,7/5/2009,Cooling,0:15:00
1457394728-0722-05,7/5/2009,Cooling,0:30:00
1457394728-0723-05,7/5/2009,Cooling,0:45:00
1457394728-0724-05,7/5/2009,Cooling,1:00:00
1457394728-0725-05,7/5/2009,Cooling,1:15:00
1457394728-0726-05,7/5/2009,Cooling,1:30:00
1457394728-0727-05,7/5/2009,Cooling,1:45:00
1457394728-0728-05,7/5/2009,Cooling,2:00:00
1457394728-0864-06,7/6/2009,Cooling,0:00:00
1457394728-0865-06,7/6/2009,Cooling,0:15:00
1457394728-0866-06,7/6/2009,Cooling,0:30:00
1457394729-0001-01,12/1/2009,Heating,0:00:00
1457394729-0002-01,12/1/2009,Heating,0:15:00
1457394729-0003-01,12/1/2009,Heating,0:30:00
1457394729-0004-01,12/1/2009,Heating,0:45:00
1457394729-0005-01,12/1/2009,Heating,1:00:00
1457394729-0006-01,12/1/2009,Heating,1:15:00
1457394729-0007-01,12/1/2009,Heating,1:30:00
1457394729-0008-01,12/1/2009,Heating,1:45:00
1457394729-0009-01,12/1/2009,Heating,2:00:00
1457394729-0144-02 ,12/2/2009,Heating,0:00:00
1457394729-0145-02,12/2/2009,Heating,0:15:00
1457394729-0146-02 ,12/2/2009,Heating,0:30:00
1457394729-0147-02 ,12/2/2009,Heating,0:45:00
1457394729-0148-02 ,12/2/2009,Heating,1:00:00
1457394729-0149-02 ,12/2/2009,Heating,1:15:00
1457394729-0150-02,12/2/2009,Heating,1:30:00
1457394729-0151-02 ,12/2/2009,Heating,1:45:00
1457394729-0152-02 ,12/2/2009,Heating,2:00:00
1457394729-0432-02,12/3/2009,Heating,0:00:00
1457394729-0433-03,12/3/2009,Heating,0:15:00
1457394729-0434-03,12/3/2009,Heating,0:30:00
1457394729-0435-03,12/3/2009,Heating,0:45:00
1457394729-0436-03,12/3/2009,Heating,1:00:00
1457394729-0437-03,12/3/2009,Heating,1:15:00
1457394729-0438-03,12/3/2009,Heating,1:30:00
1457394729-0439-03,12/3/2009,Heating,1:45:00
1457394729-0440-03,12/3/2009,Heating,2:00:00
1457394729-0576-04,12/4/2009,Heating,0:00:00
1457394729-0577-04,12/4/2009,Heating,0:15:00
1457394729-0578-04,12/4/2009,Heating,0:30:00
1457394729-0579-04,12/4/2009,Heating,0:45:00
1457394729-0580-04,12/4/2009,Heating,1:00:00
1457394729-0581-04,12/4/2009,Heating,1:15:00
1457394729-0582-04,12/4/2009,Heating,1:30:00
1457394729-0583-04,12/4/2009,Heating,1:45:00
1457394729-0584-04,12/4/2009,Heating,2:00:00
1457394729-0720-05,12/5/2009,Heating,0:00:00
1457394729-0721-05,12/5/2009,Heating,0:15:00
1457394729-0722-05,12/5/2009,Heating,0:30:00
1457394729-0723-05,12/5/2009,Heating,0:45:00
1457394729-0724-05,12/5/2009,Heating,1:00:00
1457394729-0725-05,12/5/2009,Heating,1:15:00
1457394729-0726-05,12/5/2009,Heating,1:30:00
1457394729-0727-05,12/5/2009,Heating,1:45:00
1457394729-0728-05,12/5/2009,Heating,2:00:00
1457394729-0864-06,12/6/2009,Heating,0:00:00
1457394729-0865-06,12/6/2009,Heating,0:15:00
1457394729-0866-06,12/6/2009,Heating,0:30:00
